deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.25015926;25.57469749;-0.00213397;-0.01667920;-1.48664677;-0.00075146;-0.00040819;0.00327253 
0.24438071;25.81907821;-0.00212161;-0.01665612;-1.48653793;0.00033368;-0.00005696;0.00202308 
0.25380659;26.07288480;-0.00208451;-0.01663082;-1.48647499;0.00041501;-0.00090720;-0.00058389 
0.26138377;26.33426857;-0.00205604;-0.01622995;-1.48645186;-0.00059698;-0.00060179;0.00241532 
0.24561834;26.57988691;-0.00207563;-0.01618593;-1.48628700;0.00131854;-0.00008772;0.00181396 
0.23919129;26.81907821;-0.00213432;-0.01646074;-1.48602855;-0.00059493;-0.00152415;0.00585853 
0.26875138;27.08782959;-0.00211481;-0.01640328;-1.48588789;0.00025364;-0.00079942;0.00135650 
0.23626757;27.32409716;-0.00213514;-0.01635211;-1.48593318;-0.00188528;0.00037973;-0.00148453 
0.26581621;27.58991337;-0.00198822;-0.01659276;-1.48583853;0.00037133;-0.00134904;-0.00341742 
0.22836256;27.81827593;-0.00191901;-0.01680842;-1.48557699;0.00001114;-0.00140181;0.00248988 
0.25349116;28.07176709;-0.00179834;-0.01680324;-1.48536491;-0.00010065;-0.00033020;0.00201714 
0.26237106;28.33413815;-0.00177207;-0.01676209;-1.48518121;-0.00058980;-0.00099096;-0.00045669 
0.23478770;28.56892586;-0.00189819;-0.01676287;-1.48511946;-0.00008097;-0.00055942;0.00212777 
0.24989772;28.81882358;-0.00175251;-0.01676732;-1.48490489;-0.00086348;-0.00050147;0.00149194 
0.24753141;29.06635499;-0.00156196;-0.01659482;-1.48474050;-0.00014660;0.00014140;0.00143942 
0.25395799;29.32031298;-0.00153553;-0.01654623;-1.48474264;0.00023281;0.00017764;-0.00009329 
0.25878787;29.57910085;-0.00148938;-0.01626909;-1.48473060;-0.00055476;0.00015517;-0.00000636 
0.24329853;29.82239938;-0.00138941;-0.01600774;-1.48465014;0.00020082;-0.00157313;0.00203995 
0.25161123;30.07401061;-0.00119327;-0.01578762;-1.48456085;-0.00003694;0.00054536;0.00022663 
